userName,score,at,content
YuwaN,1,2024-05-12 12:52:09,Udah berbulan2 mantau nih aplikasi tapi PopMart barang2nya gak pernah di restock. Jadi kesannya kayak gak niat nih aplikasi 🤔
Durian Kuning,1,2024-05-12 11:36:09,"Buruk banget asli poin di batasi, harus uplod foto ktp.. ini sepertinya beraliansi dengan pinjol. Padahal aplikasi survei lain ga ada harus uplod foto ktp. PARAHH"
Ahmat Fajar21,3,2024-05-12 07:17:38,Ada pembaruan di aplikasi..malah jadi error dan lemot
ahmad efendi,5,2024-05-10 13:03:29,baik dan mudah
Chusnul Khotimah,3,2024-05-08 13:59:39,selalu dapat undangan survei akan tetapi harus menggunakan dynamic link. sudah saya cek dynamic link saya aktif. dan saya sudah mengupdate aplikasi tapi sekarang malah tidak ada pop pollnya. dulu waktu pertama gabung pop pollnya selalu ada . saya kasih bintang 3 dulu. masih nunggu perubahan
Satria B. Sumantry,5,2024-05-08 03:41:50,Mudah digunakan dan cepat dalam menyelesaikan masalah
Adnan Patoni,1,2024-05-08 03:41:47,penukaran hadiah sangat amat terbatas tidak seperti yang lain
iwan sitolngo,3,2024-05-06 06:13:29,Beri 3 bintang dulu baru ikut. Kalau kira2 dapat memberikan survey yg dapat menguntungkan baru kasih bintang t
galih anggara,4,2024-05-06 05:53:48,Aplikasinya bagus mudah di pahami kendala cuma di verifikasi ktp aga sulit tapi tenang aj di situ ada help canter jadi bisa di bantu verifikasi manual oleh adminya jos👍 Tapi alhamdulillah smpe skrng blom prnah dpet studi pdahl syart profil sudh di lengakapi tolong dong bntuanya🙏
neeva chan,5,2024-05-05 09:10:35,"Terbukti membayar, dan sudah pernah wd 200k 😁"
Haura Nuraisyah,3,2024-05-03 04:18:21,Saya akan download kalo survey setiap hari dan mendapatkan poin saya kasih bintang 5 ya min. Dapat referal dari teman memang terbukti membayar
Moh. Zilma Rezaki Firdaus,5,2024-05-02 22:17:04,Aplikasi survey yang layak unduh
Veby Ziyntia,5,2024-05-02 10:03:02,"aplikasi nya oke buat nambah cuan dengan cara isi survey, harus sering cek aplikasi karna kuota survey terbatas"
Taufik Hidayat,3,2024-05-02 08:51:21,"Tolong di perbanyak dong stok penukaran hadiah koin,terus ketika isi survey reward saldo tunai kadang masih di proses lama banget ada yang setahun masih proses,giliran gagal cepet,tidak sesuai survey pun lama muncul dan kebanyakan gagalnya"
Voldy Saputra,1,2024-05-02 04:46:18,Survey dapatnya coin mulu. Ga ada duit serupiah pun. Penghasil cuan apaan. Daftar super poling pun ditolak. Hadeuh not recomended
Bushcraft Channel,1,2024-05-02 03:09:04,Masih ada dua studi yang masih di proses udah hampir 1 Minggu apa studi itu berhasil atau ditolak. Apk nya udah nggak jelas nggk kaya dulu. Kalo studi udah di ACC kalo berhasil saya lanjut main apk ini kalo di ditolak saya uninstall apk ini
Firman friyadi,3,2024-05-01 13:24:01,"Data diri saya sudah terverifikasi semua tapi kok masih aja harus ada yang di perbaiki, dan jadi susah dapet survei semenjak di update aplikasinya, kok jadi ngaco gini sih populix skrng"
Hadi Susilo,1,2024-04-30 18:59:03,"Parah banget ni aplikasi ngisi survei masih ada kuota pas akhir dapat email kuota habis antusias banyak..lah kalau emang habis kuota mah aku ga bisa ngisi survei dong ini aku ngisi sampai finish terus dapat email kuota penuh, kalau ga mau ngasih reward ngapain ngadain survei ...gua doain kena karma,,bnyak alasan ga ngasih reward kecepetan lah kuota dah full ,,,inget karma ,di web sebelah kalau dah full kuota iya udah ga bisa di teruskan surveinya ini dah finish gmw bayar reward.."
mustaher taher,3,2024-04-30 15:29:31,Updet trus kerjaan nya.
Achmad Maulana,5,2024-04-27 13:15:24,"Aplikasinya bagus sih cuman sayangnya pertanyaan ""Dimana kota/kabupaten kamu bekerja?"" Sudah saya jawab dan klik selanjutnya tapi gak bisa semoga apa yang saya jawab bermanfaat 😄😄😄🌿🌿🌿"
Neng Megawati,1,2024-04-27 08:59:37,Populix sekarang kalau ada studi dengan reward diatas 1000 pasti diproses nya lama bgt bahkan studi saya sudah 30 hari belum di approve juga sudah komplain segala macem tetep aja ga membuah kan hasil 👎🏻👎🏻👎🏻
arifin ekacahya,5,2024-04-27 03:46:16,Nyari kode referal ga ketemuuuu
Muhammad Armizul C,5,2024-04-23 13:33:48,Bagus tapi tolong ditingkatkan lagi
Nizar Abdullah,1,2024-04-22 08:44:47,Waduh waduh waduh mending kita pindah aplikasi aja penarikan pertama bagus bagus aja tapi setelah itu reward yang kita dapat makin sedikit mengecewakan sekali
Rus Biyan,1,2024-04-20 13:24:47,Makin parah nih aplikasi... Pdhl setiap hari isi poppoling sama popchek dan study dikerjakan walaupun tidak lolos.. eee popscore berkurang drastis dari 100% menjadi 50% jdi tidak bisa penarikan saldo
Instalatir Listrik,5,2024-04-19 19:26:40,sangat membantu untuk pengetahuan dan Uang tambahan
Budi Brother's,5,2024-04-19 12:26:20,"Seru dan menarik, terima kasih populix yg memberi ruang berdialog, bertanya dan menjawab dengan cara sangat menarik"
Desi Saputri,5,2024-04-19 06:56:23,"Udah lama gak dapat survey berbayarnya :( , sangking lamanya udah gak ingat kapan terakhir kali WD"
Nurul Lathifah,2,2024-04-19 01:42:13,"G pernah dpt survey, sekalinya dpt mlh gagal,, g recommended bgt, jd pen uninstall"
Bagus Wicaksono,4,2024-04-18 09:25:07,"Aplikasi yang bagus, tapi saran saya, servernya mohon ditingkatkan untuk load nya kadang lambat, koneksi internet sudah kencang dan tidak ada masalah"
Roysandi Permana,5,2024-04-18 05:15:28,"Bagus , semoga survey nya tambah banyak"
Winny Rahma,2,2024-04-18 03:18:10,"Ini gimana sih? Keluar notif harus di update, tapi giliran ke playstore enggak ada tombol Update nya."
Fatimah Al Zahro,5,2024-04-17 05:17:22,Aplikasi yg sangat bagus dan membantu. Semoga lebih banyak dan lebih sering muncul studi 🙏
Kristian Duha,2,2024-04-08 16:04:20,"Saya sebenarnya pengguna lama dan suka bgt sama ni aplikasi.Tapi ntah kenapa belakangan ini,setiap ada survey sama sekali ga bisa klik survey nya, ga bisa ngerjain jadinya alhasil survey nya penuh.Ini kendala nya dimana sih, perasaan dulu gak pernah kayak gitu.Kalau memang saya bukan target survey nya,ya sekalian aja gak usah muncul tuh survey di aplikasi saya. Tolonglah sistem nya diperbaiki lagi 🙏"
Sayid Husen,3,2024-04-07 20:00:53,"Lumayan bagus. Cuma sistem pembayaran kalo bisa ada e-wallet seperti dana, gopay atau shopeepay. Nanti kalo sudah ada saya kasih bintang 5."
Garda Arya wijaya,4,2024-04-07 03:31:57,Tak tambah bintang. Sekarang susah mendapatkan hadiah padahal penukaran poin lebih banyak dari yang lain. Apakah ini pekerjaan Robot untuk memenangkan orang yang dalam aja?
